FechaHora;RadSolar
2/07/2013 11:00;772
10/07/2013 10:00;417.5
15/07/2013 10:00;267.3
15/07/2013 11:00;521.3
15/07/2013 12:00;909
17/07/2013 9:00;321.4
17/07/2013 10:00;721.2
17/07/2013 11:00;636.2
19/07/2013 10:00;558.9
19/07/2013 17:00;141.4
20/07/2013 9:00;265.1
20/07/2013 10:00;507
21/07/2013 9:00;463.9
21/07/2013 10:00;573.2
21/07/2013 11:00;922.2
21/07/2013 12:00;963.1
22/07/2013 9:00;512.5
23/07/2013 9:00;523.5
24/07/2013 9:00;474.9
24/07/2013 10:00;705.8
24/07/2013 19:00;2.2
24/07/2013 20:00;1.1
24/07/2013 21:00;0
24/07/2013 22:00;0
24/07/2013 23:00;0
25/07/2013 0:00;0
25/07/2013 1:00;0
25/07/2013 2:00;0
25/07/2013 3:00;0
25/07/2013 4:00;0
25/07/2013 5:00;0
25/07/2013 6:00;2.2
25/07/2013 7:00;44.2
25/07/2013 8:00;223.1
25/07/2013 9:00;58.5
25/07/2013 10:00;69.6
25/07/2013 11:00;341.3
25/07/2013 12:00;576.5
25/07/2013 13:00;283.8
25/07/2013 14:00;491.5
25/07/2013 15:00;119.3
25/07/2013 17:00;63
25/07/2013 18:00;33.1
25/07/2013 19:00;0
25/07/2013 20:00;0
25/07/2013 21:00;0
25/07/2013 22:00;0
25/07/2013 23:00;0
26/07/2013 0:00;0
26/07/2013 1:00;0
26/07/2013 2:00;0
26/07/2013 3:00;0
26/07/2013 4:00;0
26/07/2013 5:00;0
26/07/2013 6:00;2.2
26/07/2013 7:00;37.6
26/07/2013 8:00;81.7
26/07/2013 9:00;130.3
26/07/2013 10:00;167.9
26/07/2013 11:00;294.9
26/07/2013 12:00;439.6
26/07/2013 13:00;412
26/07/2013 14:00;534.6
26/07/2013 15:00;392.1
26/07/2013 16:00;243
26/07/2013 17:00;132.5
26/07/2013 18:00;27.6
26/07/2013 19:00;0
26/07/2013 20:00;0
26/07/2013 21:00;0
26/07/2013 22:00;0
26/07/2013 23:00;0
27/07/2013 0:00;0
27/07/2013 1:00;0
27/07/2013 2:00;0
27/07/2013 3:00;0
27/07/2013 4:00;0
27/07/2013 5:00;0
27/07/2013 6:00;0
27/07/2013 7:00;36.4
27/07/2013 8:00;133.6
27/07/2013 9:00;181.1
27/07/2013 10:00;289.4
27/07/2013 11:00;643.9
27/07/2013 12:00;507
27/07/2013 13:00;469.4
27/07/2013 14:00;533.5
27/07/2013 15:00;484.9
27/07/2013 16:00;445.1
27/07/2013 17:00;282.7
27/07/2013 18:00;50.8
27/07/2013 19:00;2.2
27/07/2013 20:00;0
27/07/2013 21:00;0
27/07/2013 22:00;0
27/07/2013 23:00;0
28/07/2013 0:00;0
28/07/2013 1:00;0
28/07/2013 2:00;0
28/07/2013 3:00;0
28/07/2013 4:00;0
28/07/2013 5:00;0
28/07/2013 6:00;0
28/07/2013 7:00;39.8
28/07/2013 8:00;162.4
28/07/2013 9:00;293.8
28/07/2013 10:00;446.2
28/07/2013 11:00;524.6
28/07/2013 12:00;583.2
28/07/2013 13:00;907.9
28/07/2013 14:00;774.2
28/07/2013 15:00;688.1
28/07/2013 16:00;561.1
28/07/2013 17:00;314.8
28/07/2013 18:00;92.8
28/07/2013 19:00;3.3
28/07/2013 20:00;1.1
28/07/2013 21:00;0
28/07/2013 22:00;0
28/07/2013 23:00;0
29/07/2013 0:00;0
29/07/2013 1:00;0
29/07/2013 2:00;0
29/07/2013 3:00;0
29/07/2013 4:00;0
29/07/2013 5:00;0
29/07/2013 6:00;0
29/07/2013 7:00;49.7
29/07/2013 8:00;92.8
29/07/2013 9:00;198.8
29/07/2013 10:00;357.8
29/07/2013 11:00;511.4
29/07/2013 12:00;643.9
29/07/2013 13:00;483.8
29/07/2013 14:00;171.2
29/07/2013 15:00;91.7
29/07/2013 16:00;125.9
29/07/2013 17:00;177.8
29/07/2013 18:00;35.3
29/07/2013 19:00;0
29/07/2013 20:00;0
29/07/2013 21:00;0
29/07/2013 22:00;0
29/07/2013 23:00;0
30/07/2013 0:00;0
30/07/2013 1:00;0
30/07/2013 2:00;0
30/07/2013 3:00;0
30/07/2013 4:00;0
30/07/2013 5:00;0
30/07/2013 6:00;3.3
30/07/2013 7:00;141.4
30/07/2013 8:00;230.8
30/07/2013 9:00;251.8
30/07/2013 10:00;320.3
30/07/2013 11:00;397.6
30/07/2013 12:00;645
30/07/2013 13:00;864.8
30/07/2013 14:00;340.2
30/07/2013 15:00;234.1
30/07/2013 16:00;193.3
30/07/2013 17:00;124.8
30/07/2013 18:00;60.7
30/07/2013 19:00;2.2
30/07/2013 20:00;0
30/07/2013 21:00;0
30/07/2013 22:00;0
30/07/2013 23:00;0
31/07/2013 0:00;0
31/07/2013 1:00;0
31/07/2013 2:00;0
31/07/2013 3:00;0
31/07/2013 4:00;0
31/07/2013 5:00;0
31/07/2013 6:00;2.2
31/07/2013 7:00;63
31/07/2013 8:00;190
31/07/2013 9:00;347.9
31/07/2013 10:00;505.8
31/07/2013 11:00;770.9
31/07/2013 12:00;765.4
31/07/2013 13:00;796.3
31/07/2013 14:00;645
31/07/2013 15:00;501.4
31/07/2013 16:00;294.9
31/07/2013 17:00;69.6
31/07/2013 18:00;22.1
31/07/2013 19:00;1.1
31/07/2013 20:00;0
31/07/2013 21:00;0
31/07/2013 22:00;0
31/07/2013 23:00;0
1/08/2013 0:00;0
1/08/2013 1:00;0
1/08/2013 2:00;0
1/08/2013 3:00;0
1/08/2013 4:00;0
1/08/2013 5:00;0
1/08/2013 6:00;2.2
1/08/2013 7:00;44.2
1/08/2013 8:00;67.4
1/08/2013 9:00;150.2
1/08/2013 10:00;91.7
1/08/2013 11:00;343.5
1/08/2013 12:00;596.4
1/08/2013 13:00;536.8
1/08/2013 14:00;235.3
1/08/2013 15:00;60.7
1/08/2013 16:00;120.4
1/08/2013 17:00;87.3
1/08/2013 18:00;33.1
1/08/2013 19:00;1.1
1/08/2013 20:00;0
1/08/2013 21:00;0
1/08/2013 22:00;0
1/08/2013 23:00;0
2/08/2013 0:00;0
2/08/2013 1:00;0
2/08/2013 2:00;0
2/08/2013 3:00;0
2/08/2013 4:00;0
2/08/2013 5:00;0
2/08/2013 6:00;2.2
2/08/2013 7:00;57.4
2/08/2013 8:00;130.3
2/08/2013 9:00;502.5
2/08/2013 10:00;759.9
2/08/2013 11:00;610.8
2/08/2013 12:00;64.1
2/08/2013 13:00;35.3
2/08/2013 14:00;15.5
2/08/2013 17:00;77.3
2/08/2013 18:00;29.8
2/08/2013 19:00;1.1
2/08/2013 20:00;0
2/08/2013 21:00;0
2/08/2013 22:00;0
2/08/2013 23:00;0
3/08/2013 0:00;0
3/08/2013 1:00;0
3/08/2013 2:00;0
3/08/2013 3:00;0
3/08/2013 4:00;0
3/08/2013 5:00;0
3/08/2013 6:00;0
3/08/2013 7:00;32
3/08/2013 8:00;134.7
3/08/2013 9:00;269.5
3/08/2013 11:00;736.7
3/08/2013 12:00;515.8
3/08/2013 14:00;794.1
3/08/2013 15:00;655
3/08/2013 16:00;511.4
3/08/2013 17:00;276.1
3/08/2013 18:00;79.5
3/08/2013 20:00;1.1
3/08/2013 21:00;0
3/08/2013 22:00;0
3/08/2013 23:00;0
4/08/2013 0:00;0
4/08/2013 1:00;0
4/08/2013 2:00;0
4/08/2013 3:00;0
4/08/2013 4:00;0
4/08/2013 5:00;0
4/08/2013 6:00;3.3
4/08/2013 7:00;74
4/08/2013 8:00;162.4
4/08/2013 9:00;356.7
4/08/2013 10:00;498.1
4/08/2013 11:00;756.6
4/08/2013 12:00;943.2
4/08/2013 13:00;789.7
4/08/2013 14:00;731.2
4/08/2013 15:00;616.3
4/08/2013 17:00;149.1
4/08/2013 18:00;30.9
4/08/2013 19:00;1.1
4/08/2013 20:00;0
4/08/2013 21:00;0
4/08/2013 22:00;0
4/08/2013 23:00;0
5/08/2013 0:00;0
5/08/2013 1:00;0
5/08/2013 2:00;0
5/08/2013 3:00;0
5/08/2013 4:00;0
5/08/2013 5:00;0
5/08/2013 6:00;4.4
5/08/2013 7:00;101.6
5/08/2013 8:00;212.1
5/08/2013 9:00;415.3
6/08/2013 18:00;66.3
6/08/2013 20:00;1.1
6/08/2013 21:00;0
6/08/2013 22:00;0
6/08/2013 23:00;0
7/08/2013 1:00;0
7/08/2013 3:00;0
7/08/2013 5:00;0
7/08/2013 6:00;3.3
7/08/2013 8:00;51.9
7/08/2013 10:00;292.7
7/08/2013 13:00;171.2
7/08/2013 14:00;215.4
7/08/2013 15:00;291.6
7/08/2013 16:00;280.5
7/08/2013 17:00;110.4
7/08/2013 18:00;23.2
7/08/2013 19:00;0
7/08/2013 20:00;0
7/08/2013 21:00;0
7/08/2013 22:00;0
7/08/2013 23:00;0
8/08/2013 0:00;0
8/08/2013 1:00;0
8/08/2013 2:00;0
8/08/2013 3:00;0
8/08/2013 4:00;0
8/08/2013 5:00;0
8/08/2013 6:00;0
8/08/2013 7:00;22.1
8/08/2013 8:00;130.3
8/08/2013 10:00;609.7
8/08/2013 11:00;810.7
8/08/2013 12:00;608.6
8/08/2013 13:00;543.4
8/08/2013 14:00;779.8
8/08/2013 15:00;712.4
8/08/2013 16:00;415.3
8/08/2013 17:00;257.3
8/08/2013 18:00;80.6
8/08/2013 19:00;3.3
8/08/2013 20:00;1.1
8/08/2013 21:00;0
8/08/2013 22:00;0
8/08/2013 23:00;0
