FechaHora;RadSolar
1/01/2012 0:00;0
1/01/2012 1:00;0
1/01/2012 2:00;0
1/01/2012 3:00;0
1/01/2012 4:00;0
1/01/2012 5:00;0
1/01/2012 7:00;32.9
1/01/2012 8:00;228.4
1/01/2012 9:00;435.8
1/01/2012 10:00;606.3
1/01/2012 11:00;755.9
1/01/2012 12:00;824.7
1/01/2012 13:00;887.5
1/01/2012 14:00;423.8
1/01/2012 15:00;491.6
1/01/2012 16:00;278.2
1/01/2012 17:00;181.5
1/01/2012 18:00;20.9
1/01/2012 19:00;9
2/01/2012 6:00;0
2/01/2012 8:00;150.6
2/01/2012 9:00;433.8
2/01/2012 10:00;575.4
2/01/2012 11:00;717
2/01/2012 12:00;806.7
2/01/2012 13:00;693.1
2/01/2012 14:00;698
2/01/2012 15:00;364
2/01/2012 16:00;269.2
2/01/2012 17:00;247.3
2/01/2012 18:00;78.8
3/01/2012 4:00;0
3/01/2012 5:00;0
3/01/2012 6:00;0
3/01/2012 8:00;32.9
3/01/2012 9:00;315.1
3/01/2012 10:00;479.7
3/01/2012 11:00;439.8
3/01/2012 12:00;621.3
3/01/2012 13:00;341
3/01/2012 14:00;111.7
3/01/2012 15:00;14
3/01/2012 16:00;24.9
3/01/2012 18:00;56.8
3/01/2012 22:00;0
3/01/2012 23:00;0
4/01/2012 0:00;0
4/01/2012 1:00;0
4/01/2012 2:00;0
4/01/2012 3:00;0
4/01/2012 4:00;0
4/01/2012 5:00;0
4/01/2012 6:00;0
4/01/2012 10:00;239.3
4/01/2012 11:00;457.7
4/01/2012 12:00;608.3
4/01/2012 13:00;604.3
4/01/2012 14:00;945.4
4/01/2012 15:00;481.7
4/01/2012 16:00;201.4
4/01/2012 17:00;153.6
4/01/2012 18:00;80.8
4/01/2012 19:00;10
4/01/2012 21:00;0
4/01/2012 22:00;0
4/01/2012 23:00;0
5/01/2012 0:00;0
5/01/2012 1:00;0
5/01/2012 2:00;0
5/01/2012 3:00;0
5/01/2012 4:00;0
5/01/2012 5:00;0
5/01/2012 6:00;0
5/01/2012 9:00;275.2
5/01/2012 10:00;385.9
5/01/2012 11:00;637.2
5/01/2012 12:00;764.9
5/01/2012 13:00;810.7
5/01/2012 14:00;671.1
5/01/2012 15:00;297.2
5/01/2012 16:00;127.6
5/01/2012 17:00;88.8
5/01/2012 18:00;19.9
5/01/2012 20:00;0
5/01/2012 22:00;0
5/01/2012 23:00;0
6/01/2012 0:00;0
6/01/2012 1:00;0
6/01/2012 2:00;0
6/01/2012 3:00;0
6/01/2012 4:00;0
6/01/2012 5:00;0
6/01/2012 6:00;0
6/01/2012 10:00;11
6/01/2012 11:00;50.9
6/01/2012 12:00;405.9
6/01/2012 13:00;758.9
6/01/2012 14:00;710
6/01/2012 15:00;543.5
6/01/2012 16:00;411.8
6/01/2012 17:00;283.2
6/01/2012 18:00;41.9
6/01/2012 19:00;1
6/01/2012 20:00;0
6/01/2012 21:00;0
6/01/2012 23:00;0
7/01/2012 0:00;0
7/01/2012 1:00;0
7/01/2012 2:00;0
7/01/2012 3:00;0
7/01/2012 4:00;0
7/01/2012 5:00;0
7/01/2012 6:00;0
7/01/2012 8:00;14
7/01/2012 9:00;126.6
7/01/2012 10:00;308.1
7/01/2012 11:00;531.5
7/01/2012 12:00;560.4
7/01/2012 13:00;364
7/01/2012 14:00;592.3
7/01/2012 15:00;597.3
7/01/2012 16:00;241.3
7/01/2012 17:00;230.4
7/01/2012 18:00;15
7/01/2012 19:00;0
7/01/2012 20:00;0
7/01/2012 21:00;1
7/01/2012 22:00;0
8/01/2012 0:00;0
8/01/2012 1:00;0
8/01/2012 2:00;0
8/01/2012 3:00;0
8/01/2012 4:00;0
8/01/2012 5:00;0
8/01/2012 6:00;0
8/01/2012 9:00;176.5
8/01/2012 10:00;299.2
8/01/2012 11:00;544.5
8/01/2012 12:00;537.5
8/01/2012 13:00;86.8
8/01/2012 14:00;28.9
