MES/FUENTE;RF;NASA;IDEAM;ALTITUD;RF;NASA;IDEAM;ALTITUD;RF;NASA;IDEAM;ALTITUD;RF;NASA;IDEAM;ALTITUD;RF;NASA;IDEAM;ALTITUD;RF;NASA;IDEAM;ALTITUD
Enero;3.674;4.550;4.190;1946;3.861;4.240;3.948;600;4.046;6.170;5.395;8;4.118;6.040;5.019;10;3.817;5.320;4.691;160;3.677;4.210;4.651;1131
Febrero;3.800;4.720;3.921;1946;3.794;4.020;3.849;600;4.199;6.630;4.941;8;4.276;6.280;5.594;10;3.950;5.220;4.872;160;3.982;4.310;4.306;1131
Marzo;3.575;4.770;4.107;1946;3.757;3.780;3.662;600;3.699;6.990;4.975;8;3.647;6.460;5.156;10;3.471;4.920;4.514;160;3.764;4.380;4.508;1131
Abril;4.020;4.520;3.826;1946;3.760;3.780;3.575;600;3.709;6.840;4.935;8;3.666;6.190;5.530;10;3.894;4.350;4.973;160;3.745;4.060;4.698;1131
Mayo;3.948;4.520;4.407;1946;3.572;3.790;3.908;600;3.695;6.230;5.156;8;3.809;5.670;5.690;10;3.954;4.290;5.010;160;3.965;4.150;4.403;1131
Junio;3.967;4.600;4.236;1946;3.436;3.570;3.618;600;3.972;6.290;5.215;8;3.874;5.680;5.494;10;3.651;4.090;5.087;160;3.966;4.330;4.489;1131
Julio;3.929;4.920;3.932;1946;3.544;3.550;3.456;600;3.952;6.620;4.872;8;4.138;5.850;5.783;10;3.760;4.200;4.362;160;4.094;4.690;4.233;1131
Agosto;4.057;4.970;3.756;1946;3.878;3.730;3.705;600;3.761;6.560;4.981;8;3.956;5.890;5.358;10;3.875;4.460;4.781;160;4.276;4.660;4.665;1131
Septiembre;4.249;4.800;4.355;1946;4.143;4.180;4.006;600;3.844;6.040;5.178;8;3.921;5.340;5.507;10;4.115;4.790;4.754;160;4.140;4.490;4.364;1131
Octubre;4.266;4.560;3.919;1946;4.336;4.300;3.666;600;3.967;5.590;5.134;8;3.677;4.950;5.314;10;4.202;4.830;5.006;160;3.870;4.320;4.459;1131
Noviembre;3.405;4.400;3.815;1946;3.884;4.210;3.808;600;3.770;5.440;4.866;8;3.533;5.040;5.356;10;3.860;4.790;4.919;160;3.970;4.200;4.430;1131
Diciembre;3.223;4.370;3.688;1946;4.220;4.180;4.063;600;4.190;5.590;5.002;8;4.142;5.350;5.256;10;3.930;4.900;5.417;160;3.944;3.960;4.215;1131
